"qNum","unattempted","wrong","correct","partCorrect1m","partCorrect2m","partCorrect3m","subject","paper","year","qaNum","qaType","markScheme"
"1",38510,51117,56556,8975,0,0,"physics","1",2018,1,"MultCorrAns","-201234"
"2",42122,64996,25284,22756,0,0,"physics","1",2018,2,"MultCorrAns","-201234"
"3",38242,69095,30124,17697,0,0,"physics","1",2018,3,"MultCorrAns","-201234"
"4",78136,50125,17372,9525,0,0,"physics","1",2018,4,"MultCorrAns","-201234"
"5",52714,29914,13477,27122,31931,0,"physics","1",2018,5,"MultCorrAns","-201234"
"6",17632,25057,48285,24786,39398,0,"physics","1",2018,6,"MultCorrAns","-201234"
"7",22879,77084,55195,NA,NA,NA,"physics","1",2018,7,"NumAns","+03"
"8",36133,104174,14851,NA,NA,NA,"physics","1",2018,8,"NumAns","+03"
"9",37834,110251,7073,NA,NA,NA,"physics","1",2018,9,"NumAns","+03"
"10",29613,91112,34433,NA,NA,NA,"physics","1",2018,10,"NumAns","+03"
"11",30701,105067,19390,NA,NA,NA,"physics","1",2018,11,"NumAns","+03"
"12",34831,98594,21733,NA,NA,NA,"physics","1",2018,12,"NumAns","+03"
"13",35553,113309,6296,NA,NA,NA,"physics","1",2018,13,"NumAns","+03"
"14",21416,76073,57669,NA,NA,NA,"physics","1",2018,14,"NumAns","+03"
"15",18898,36431,99829,NA,NA,NA,"physics","1",2018,15,"ParaSingleAns","-103"
"16",20822,47480,86856,NA,NA,NA,"physics","1",2018,16,"ParaSingleAns","-103"
"17",48865,52457,53836,NA,NA,NA,"physics","1",2018,17,"ParaSingleAns","-103"
"18",75080,59412,20666,NA,NA,NA,"physics","1",2018,18,"ParaSingleAns","-103"
"1",23103,42192,13179,30428,46256,0,"physics","2",2018,1,"MultCorrAns","-201234"
"2",57037,25385,14951,25792,31993,0,"physics","2",2018,2,"MultCorrAns","-201234"
"3",46624,54936,24630,28968,0,0,"physics","2",2018,3,"MultCorrAns","-201234"
"4",41550,94863,18745,0,0,0,"physics","2",2018,4,"MultCorrAns","-201234"
"5",19156,37621,89054,9327,0,0,"physics","2",2018,5,"MultCorrAns","-201234"
"6",68078,32762,32050,16933,5335,0,"physics","2",2018,6,"MultCorrAns","-201234"
"7",25888,117742,11528,NA,NA,NA,"physics","2",2018,7,"NumAns","+03"
"8",14067,91549,49542,NA,NA,NA,"physics","2",2018,8,"NumAns","+03"
"9",25603,114596,14959,NA,NA,NA,"physics","2",2018,9,"NumAns","+03"
"10",31719,98488,24951,NA,NA,NA,"physics","2",2018,10,"NumAns","+03"
"11",41427,98072,15659,NA,NA,NA,"physics","2",2018,11,"NumAns","+03"
"12",21240,102887,31031,NA,NA,NA,"physics","2",2018,12,"NumAns","+03"
"13",39325,109208,6625,NA,NA,NA,"physics","2",2018,13,"NumAns","+03"
"14",14553,76004,64601,NA,NA,NA,"physics","2",2018,14,"NumAns","+03"
"15",25405,85703,44050,NA,NA,NA,"physics","2",2018,15,"TwoListMatchSingleAns","-103"
"16",24055,47627,83476,NA,NA,NA,"physics","2",2018,16,"TwoListMatchSingleAns","-103"
"17",12847,41047,101264,NA,NA,NA,"physics","2",2018,17,"TwoListMatchSingleAns","-103"
"18",59252,53505,42401,NA,NA,NA,"physics","2",2018,18,"TwoListMatchSingleAns","-103"
"19",19687,80389,34643,20439,0,0,"chemistry","1",2018,1,"MultCorrAns","-201234"
"20",40526,73623,14757,26252,0,0,"chemistry","1",2018,2,"MultCorrAns","-201234"
"21",10905,53609,24171,19756,46717,0,"chemistry","1",2018,3,"MultCorrAns","-201234"
"22",76712,65981,12465,0,0,0,"chemistry","1",2018,4,"MultCorrAns","-201234"
"23",16985,55012,6385,34206,42570,0,"chemistry","1",2018,5,"MultCorrAns","-201234"
"24",63016,50026,12447,29669,0,0,"chemistry","1",2018,6,"MultCorrAns","-201234"
"25",15300,129374,10484,NA,NA,NA,"chemistry","1",2018,7,"NumAns","+03"
"26",49315,104377,1466,NA,NA,NA,"chemistry","1",2018,8,"NumAns","+03"
"27",21750,95534,37874,NA,NA,NA,"chemistry","1",2018,9,"NumAns","+03"
"28",26037,92524,36597,NA,NA,NA,"chemistry","1",2018,10,"NumAns","+03"
"29",32640,110155,12363,NA,NA,NA,"chemistry","1",2018,11,"NumAns","+03"
"30",22910,90911,41337,NA,NA,NA,"chemistry","1",2018,12,"NumAns","+03"
"31",32951,120822,1385,NA,NA,NA,"chemistry","1",2018,13,"NumAns","+03"
"32",32749,114524,7885,NA,NA,NA,"chemistry","1",2018,14,"NumAns","+03"
"33",72144,72953,10061,NA,NA,NA,"chemistry","1",2018,15,"ParaSingleAns","-103"
"34",64129,65847,25182,NA,NA,NA,"chemistry","1",2018,16,"ParaSingleAns","-103"
"35",86837,42117,26204,NA,NA,NA,"chemistry","1",2018,17,"ParaSingleAns","-103"
"36",78913,53736,22509,NA,NA,NA,"chemistry","1",2018,18,"ParaSingleAns","-103"
"19",24984,63731,9511,23415,33517,0,"chemistry","2",2018,1,"MultCorrAns","-201234"
"20",40757,67402,17444,29555,0,0,"chemistry","2",2018,2,"MultCorrAns","-201234"
"21",70340,60836,23982,0,0,0,"chemistry","2",2018,3,"MultCorrAns","-201234"
"22",47112,81569,26477,0,0,0,"chemistry","2",2018,4,"MultCorrAns","-201234"
"23",48989,50020,20700,35449,0,0,"chemistry","2",2018,5,"MultCorrAns","-201234"
"24",78142,49487,15945,11584,0,0,"chemistry","2",2018,6,"MultCorrAns","-201234"
"25",9878,66700,78580,NA,NA,NA,"chemistry","2",2018,7,"NumAns","+03"
"26",29787,111554,13817,NA,NA,NA,"chemistry","2",2018,8,"NumAns","+03"
"27",43983,96399,14776,NA,NA,NA,"chemistry","2",2018,9,"NumAns","+03"
"28",17229,131704,6225,NA,NA,NA,"chemistry","2",2018,10,"NumAns","+03"
"29",32013,111869,11276,NA,NA,NA,"chemistry","2",2018,11,"NumAns","+03"
"30",51399,103343,416,NA,NA,NA,"chemistry","2",2018,12,"NumAns","+03"
"31",38171,108504,8483,NA,NA,NA,"chemistry","2",2018,13,"NumAns","+03"
"32",35886,114884,4388,NA,NA,NA,"chemistry","2",2018,14,"NumAns","+03"
"33",13252,65337,76569,NA,NA,NA,"chemistry","2",2018,15,"TwoListMatchSingleAns","-103"
"34",59322,53242,42594,NA,NA,NA,"chemistry","2",2018,16,"TwoListMatchSingleAns","-103"
"35",21356,85651,48151,NA,NA,NA,"chemistry","2",2018,17,"TwoListMatchSingleAns","-103"
"36",77089,60237,17832,NA,NA,NA,"chemistry","2",2018,18,"TwoListMatchSingleAns","-103"
"37",55750,44521,2833,31257,20797,0,"maths","1",2018,1,"MultCorrAns","-201234"
"38",38634,18027,25911,36873,35713,0,"maths","1",2018,2,"MultCorrAns","-201234"
"39",33240,49117,30209,42592,0,0,"maths","1",2018,3,"MultCorrAns","-201234"
"40",95739,22849,3205,20354,13011,0,"maths","1",2018,4,"MultCorrAns","-201234"
"41",89898,46703,9662,8895,0,0,"maths","1",2018,5,"MultCorrAns","-201234"
"42",95932,36708,10992,11526,0,0,"maths","1",2018,6,"MultCorrAns","-201234"
"43",28821,86459,39878,NA,NA,NA,"maths","1",2018,7,"NumAns","+03"
"44",16999,100592,37567,NA,NA,NA,"maths","1",2018,8,"NumAns","+03"
"45",22507,125020,7631,NA,NA,NA,"maths","1",2018,9,"NumAns","+03"
"46",36196,89436,29526,NA,NA,NA,"maths","1",2018,10,"NumAns","+03"
"47",25459,77924,51775,NA,NA,NA,"maths","1",2018,11,"NumAns","+03"
"48",21738,110919,22501,NA,NA,NA,"maths","1",2018,12,"NumAns","+03"
"49",33942,96439,24777,NA,NA,NA,"maths","1",2018,13,"NumAns","+03"
"50",22942,86683,45533,NA,NA,NA,"maths","1",2018,14,"NumAns","+03"
"51",61549,53298,40311,NA,NA,NA,"maths","1",2018,15,"ParaSingleAns","-103"
"52",44832,59114,51212,NA,NA,NA,"maths","1",2018,16,"ParaSingleAns","-103"
"53",61124,57133,36901,NA,NA,NA,"maths","1",2018,17,"ParaSingleAns","-103"
"54",84479,51617,19062,NA,NA,NA,"maths","1",2018,18,"ParaSingleAns","-103"
"37",80560,60344,14254,0,0,0,"maths","2",2018,1,"MultCorrAns","-201234"
"38",112673,33585,1662,7238,0,0,"maths","2",2018,2,"MultCorrAns","-201234"
"39",74108,56910,13513,10627,0,0,"maths","2",2018,3,"MultCorrAns","-201234"
"40",64297,31720,33227,25914,0,0,"maths","2",2018,4,"MultCorrAns","-201234"
"41",87526,41941,1834,15053,8804,0,"maths","2",2018,5,"MultCorrAns","-201234"
"42",78118,23294,4575,26357,22814,0,"maths","2",2018,6,"MultCorrAns","-201234"
"43",39152,91366,24640,NA,NA,NA,"maths","2",2018,7,"NumAns","+03"
"44",10626,100075,44457,NA,NA,NA,"maths","2",2018,8,"NumAns","+03"
"45",30505,123303,1350,NA,NA,NA,"maths","2",2018,9,"NumAns","+03"
"46",21221,100349,33588,NA,NA,NA,"maths","2",2018,10,"NumAns","+03"
"47",27838,94251,33069,NA,NA,NA,"maths","2",2018,11,"NumAns","+03"
"48",37200,100743,17215,NA,NA,NA,"maths","2",2018,12,"NumAns","+03"
"49",29312,103176,22670,NA,NA,NA,"maths","2",2018,13,"NumAns","+03"
"50",30628,112130,12400,NA,NA,NA,"maths","2",2018,14,"NumAns","+03"
"51",46680,65685,42793,NA,NA,NA,"maths","2",2018,15,"TwoListMatchSingleAns","-103"
"52",24055,38322,92781,NA,NA,NA,"maths","2",2018,16,"TwoListMatchSingleAns","-103"
"53",48100,34382,72676,NA,NA,NA,"maths","2",2018,17,"TwoListMatchSingleAns","-103"
"54",41378,74729,39051,NA,NA,NA,"maths","2",2018,18,"TwoListMatchSingleAns","-103"
"Q.1",98477,16993,2642,24470,16958,0,"physics","1",2017,1,"MultCorrAns","-201234"
"Q.2",84487,34538,15346,25169,0,0,"physics","1",2017,2,"MultCorrAns","-201234"
"Q.3",72141,65154,6034,16211,0,0,"physics","1",2017,3,"MultCorrAns","-201234"
"Q.4",83671,56345,19524,0,0,0,"physics","1",2017,4,"MultCorrAns","-201234"
"Q.5",61327,61491,15135,21587,0,0,"physics","1",2017,5,"MultCorrAns","-201234"
"Q.6",56454,32775,37231,33080,0,0,"physics","1",2017,6,"MultCorrAns","-201234"
"Q.7",57955,22888,9499,32099,37099,0,"physics","1",2017,7,"MultCorrAns","-201234"
"Q.8",7996,115450,36094,NA,NA,NA,"physics","1",2017,8,"SingDigitInteger","+03"
"Q.9",5511,81444,72585,NA,NA,NA,"physics","1",2017,9,"SingDigitInteger","+03"
"Q.10",9365,103014,47161,NA,NA,NA,"physics","1",2017,10,"SingDigitInteger","+03"
"Q.11",8867,113387,37286,NA,NA,NA,"physics","1",2017,11,"SingDigitInteger","+03"
"Q.12",14271,110692,34577,NA,NA,NA,"physics","1",2017,12,"SingDigitInteger","+03"
"Q.13",43527,54492,61521,NA,NA,NA,"physics","1",2017,13,"SingCorrAns","-103"
"Q.14",51952,48662,58926,NA,NA,NA,"physics","1",2017,14,"SingCorrAns","-103"
"Q.15",45892,50737,62911,NA,NA,NA,"physics","1",2017,15,"SingCorrAns","-103"
"Q.16",28823,31282,99435,NA,NA,NA,"physics","1",2017,16,"SingCorrAns","-103"
"Q.17",22167,32636,104737,NA,NA,NA,"physics","1",2017,17,"SingCorrAns","-103"
"Q.18",43924,26500,89116,NA,NA,NA,"physics","1",2017,18,"SingCorrAns","-103"
"Q.1",67594,49229,42717,NA,NA,NA,"physics","2",2017,1,"SingCorrAns","-103"
"Q.2",82616,40954,35970,NA,NA,NA,"physics","2",2017,2,"SingCorrAns","-103"
"Q.3",69421,63795,26324,NA,NA,NA,"physics","2",2017,3,"SingCorrAns","-103"
"Q.4",65216,52388,41936,NA,NA,NA,"physics","2",2017,4,"SingCorrAns","-103"
"Q.5",58696,27253,73591,NA,NA,NA,"physics","2",2017,5,"SingCorrAns","-103"
"Q.6",69570,41933,48037,NA,NA,NA,"physics","2",2017,6,"SingCorrAns","-103"
"Q.7",67138,63818,28584,NA,NA,NA,"physics","2",2017,7,"SingCorrAns","-103"
"Q.8",81061,29806,20378,28295,0,0,"physics","2",2017,8,"MultCorrAns","-201234"
"Q.9",81055,53069,6242,19174,0,0,"physics","2",2017,9,"MultCorrAns","-201234"
"Q.10",52584,57280,13140,36536,0,0,"physics","2",2017,10,"MultCorrAns","-201234"
"Q.11",77391,51185,12742,18222,0,0,"physics","2",2017,11,"MultCorrAns","-201234"
"Q.12",55143,47030,20654,14167,22546,0,"physics","2",2017,12,"MultCorrAns","-201234"
"Q.13",44912,47467,15556,26506,25099,0,"physics","2",2017,13,"MultCorrAns","-201234"
"Q.14",62894,54745,32921,8980,0,0,"physics","2",2017,14,"MultCorrAns","-201234"
"Q.15",3907,104551,51082,NA,NA,NA,"physics","2",2017,15,"Compr","+03"
"Q.16",4955,98242,56343,NA,NA,NA,"physics","2",2017,16,"Compr","+03"
"Q.17",0,0,159540,NA,NA,NA,"physics","2",2017,17,"Compr","+03"
"Q.18",6098,113914,39528,NA,NA,NA,"physics","2",2017,18,"Compr","+03"
"Q.19",62339,43678,4769,27263,21491,0,"chemistry","1",2017,1,"MultCorrAns","-201234"
"Q.20",63895,32715,28827,34103,0,0,"chemistry","1",2017,2,"MultCorrAns","-201234"
"Q.21",26968,16427,27459,34258,54428,0,"chemistry","1",2017,3,"MultCorrAns","-201234"
"Q.22",67146,65590,7832,18972,0,0,"chemistry","1",2017,4,"MultCorrAns","-201234"
"Q.23",97730,20500,1575,27562,12173,0,"chemistry","1",2017,5,"MultCorrAns","-201234"
"Q.24",10708,80777,29668,38387,0,0,"chemistry","1",2017,6,"MultCorrAns","-201234"
"Q.25",60977,54522,20551,23490,0,0,"chemistry","1",2017,7,"MultCorrAns","-201234"
"Q.26",5343,75652,78545,NA,NA,NA,"chemistry","1",2017,8,"SingDigitInteger","+03"
"Q.27",11921,122221,25398,NA,NA,NA,"chemistry","1",2017,9,"SingDigitInteger","+03"
"Q.28",5741,102243,51556,NA,NA,NA,"chemistry","1",2017,10,"SingDigitInteger","+03"
"Q.29",0,0,159540,NA,NA,NA,"chemistry","1",2017,11,"SingDigitInteger","+03"
"Q.30",2462,123738,33340,NA,NA,NA,"chemistry","1",2017,12,"SingDigitInteger","+03"
"Q.31",65428,48492,45620,NA,NA,NA,"chemistry","1",2017,13,"SingCorrAns","-103"
"Q.32",60307,48157,51076,NA,NA,NA,"chemistry","1",2017,14,"SingCorrAns","-103"
"Q.33",68246,64664,26630,NA,NA,NA,"chemistry","1",2017,15,"SingCorrAns","-103"
"Q.34",38403,79599,41538,NA,NA,NA,"chemistry","1",2017,16,"SingCorrAns","-103"
"Q.35",53611,65439,40490,NA,NA,NA,"chemistry","1",2017,17,"SingCorrAns","-103"
"Q.36",36395,27919,95226,NA,NA,NA,"chemistry","1",2017,18,"SingCorrAns","-103"
"Q.19",39872,51078,68590,NA,NA,NA,"chemistry","2",2017,1,"SingCorrAns","-103"
"Q.20",32002,50654,76884,NA,NA,NA,"chemistry","2",2017,2,"SingCorrAns","-103"
"Q.21",108054,27305,24181,NA,NA,NA,"chemistry","2",2017,3,"SingCorrAns","-103"
"Q.22",32770,65234,61536,NA,NA,NA,"chemistry","2",2017,4,"SingCorrAns","-103"
"Q.23",10620,26752,122168,NA,NA,NA,"chemistry","2",2017,5,"SingCorrAns","-103"
"Q.24",35040,68938,55562,NA,NA,NA,"chemistry","2",2017,6,"SingCorrAns","-103"
"Q.25",28471,49904,81165,NA,NA,NA,"chemistry","2",2017,7,"SingCorrAns","-103"
"Q.26",30147,87251,21003,21139,0,0,"chemistry","2",2017,8,"MultCorrAns","-201234"
"Q.27",79645,54581,13906,11408,0,0,"chemistry","2",2017,9,"MultCorrAns","-201234"
"Q.28",96594,39553,4823,18570,0,0,"chemistry","2",2017,10,"MultCorrAns","-201234"
"Q.29",27199,0,3694,46132,68870,13645,"chemistry","2",2017,11,"MultCorrAns","-201234"
"Q.30",37479,42168,4412,42933,32548,0,"chemistry","2",2017,12,"MultCorrAns","-201234"
"Q.31",46951,46320,17476,48793,0,0,"chemistry","2",2017,13,"MultCorrAns","-201234"
"Q.32",57055,45192,37669,19624,0,0,"chemistry","2",2017,14,"MultCorrAns","-201234"
"Q.33",1858,64519,93163,NA,NA,NA,"chemistry","2",2017,15,"Compr","+03"
"Q.34",2539,95931,61070,NA,NA,NA,"chemistry","2",2017,16,"Compr","+03"
"Q.35",4754,109504,45282,NA,NA,NA,"chemistry","2",2017,17,"Compr","+03"
"Q.36",2475,141513,15552,NA,NA,NA,"chemistry","2",2017,18,"Compr","+03"
"Q.37",70573,25278,39889,13777,10023,0,"maths","1",2017,1,"MultCorrAns","-201234"
"Q.38",68857,49834,40849,0,0,0,"maths","1",2017,2,"MultCorrAns","-201234"
"Q.39",0,0,159540,0,0,0,"maths","1",2017,3,"MultCorrAns","-201234"
"Q.40",111977,24510,5871,17182,0,0,"maths","1",2017,4,"MultCorrAns","-201234"
"Q.41",47566,66712,28931,16331,0,0,"maths","1",2017,5,"MultCorrAns","-201234"
"Q.42",79596,21021,50262,8661,0,0,"maths","1",2017,6,"MultCorrAns","-201234"
"Q.43",33598,26383,55018,44541,0,0,"maths","1",2017,7,"MultCorrAns","-201234"
"Q.44",7542,110371,41627,NA,NA,NA,"maths","1",2017,8,"SingDigitInteger","+03"
"Q.45",11291,109842,38407,NA,NA,NA,"maths","1",2017,9,"SingDigitInteger","+03"
"Q.46",6462,101041,52037,NA,NA,NA,"maths","1",2017,10,"SingDigitInteger","+03"
"Q.47",8921,102970,47649,NA,NA,NA,"maths","1",2017,11,"SingDigitInteger","+03"
"Q.48",4923,52120,102497,NA,NA,NA,"maths","1",2017,12,"SingDigitInteger","+03"
"Q.49",39966,35516,84058,NA,NA,NA,"maths","1",2017,13,"SingCorrAns","-103"
"Q.50",40277,29819,89444,NA,NA,NA,"maths","1",2017,14,"SingCorrAns","-103"
"Q.51",49707,37776,72057,NA,NA,NA,"maths","1",2017,15,"SingCorrAns","-103"
"Q.52",83067,46954,29519,NA,NA,NA,"maths","1",2017,16,"SingCorrAns","-103"
"Q.53",84747,38763,36030,NA,NA,NA,"maths","1",2017,17,"SingCorrAns","-103"
"Q.54",84254,39520,35766,NA,NA,NA,"maths","1",2017,18,"SingCorrAns","-103"
"Q.37",20988,32175,106377,NA,NA,NA,"maths","2",2017,1,"SingCorrAns","-103"
"Q.38",71598,57631,30311,NA,NA,NA,"maths","2",2017,2,"SingCorrAns","-103"
"Q.39",69782,35176,54582,NA,NA,NA,"maths","2",2017,3,"SingCorrAns","-103"
"Q.40",66983,56369,36188,NA,NA,NA,"maths","2",2017,4,"SingCorrAns","-103"
"Q.41",97232,42376,19932,NA,NA,NA,"maths","2",2017,5,"SingCorrAns","-103"
"Q.42",66742,38328,54470,NA,NA,NA,"maths","2",2017,6,"SingCorrAns","-103"
"Q.43",54672,61282,43586,NA,NA,NA,"maths","2",2017,7,"SingCorrAns","-103"
"Q.44",0,0,159540,0,0,0,"maths","2",2017,8,"MultCorrAns","-201234"
"Q.45",0,0,159540,0,0,0,"maths","2",2017,9,"MultCorrAns","-201234"
"Q.46",70991,22000,42091,24458,0,0,"maths","2",2017,10,"MultCorrAns","-201234"
"Q.47",70940,51232,20811,16557,0,0,"maths","2",2017,11,"MultCorrAns","-201234"
"Q.48",43658,56299,27778,31805,0,0,"maths","2",2017,12,"MultCorrAns","-201234"
"Q.49",78050,37948,23267,20275,0,0,"maths","2",2017,13,"MultCorrAns","-201234"
"Q.50",100122,32497,12634,14287,0,0,"maths","2",2017,14,"MultCorrAns","-201234"
"Q.51",3402,70083,86055,NA,NA,NA,"maths","2",2017,15,"Compr","+03"
"Q.52",4374,75639,79527,NA,NA,NA,"maths","2",2017,16,"Compr","+03"
"Q.53",6805,107115,45620,NA,NA,NA,"maths","2",2017,17,"Compr","+03"
"Q.54",5920,100975,52645,NA,NA,NA,"maths","2",2017,18,"Compr","+03"
"Q.1",26483,41919,79276,NA,NA,NA,"physics","1",2016,1,"SingCorrAns","-103"
"Q.2",74281,34818,38579,NA,NA,NA,"physics","1",2016,2,"SingCorrAns","-103"
"Q.3",99416,31720,16542,NA,NA,NA,"physics","1",2016,3,"SingCorrAns","-103"
"Q.4",31771,69096,46811,NA,NA,NA,"physics","1",2016,4,"SingCorrAns","-103"
"Q.5",64828,58028,24822,NA,NA,NA,"physics","1",2016,5,"SingCorrAns","-103"
"Q.6",72163,26329,4631,30191,14364,0,"physics","1",2016,6,"MultCorrAns","-201234"
"Q.7",83663,18853,10477,16581,18104,0,"physics","1",2016,7,"MultCorrAns","-201234"
"Q.8",81543,44890,4663,16582,0,0,"physics","1",2016,8,"MultCorrAns","-201234"
"Q.9",79140,38957,12455,17126,0,0,"physics","1",2016,9,"MultCorrAns","-201234"
"Q.10",72549,30856,26365,17908,0,0,"physics","1",2016,10,"MultCorrAns","-201234"
