JADyear,ComRankL,Marks,appearedIn2Papers,maxMarks,rComRankL,rMarks
2018,1,337,155158,360,0.0006,93.6111
2018,101,272,155158,360,0.0651,75.5556
2018,201,258,155158,360,0.1295,71.6667
2018,301,247,155158,360,0.1940,68.6111
2018,401,240,155158,360,0.2584,66.6667
2018,501,233,155158,360,0.3229,64.7222
2018,601,227,155158,360,0.3873,63.0556
2018,701,223,155158,360,0.4518,61.9444
2018,801,219,155158,360,0.5162,60.8333
2018,901,216,155158,360,0.5807,60.0000
2018,1001,213,155158,360,0.6451,59.1667
2018,1101,210,155158,360,0.7096,58.3333
2018,1201,207,155158,360,0.7740,57.5000
2018,1301,204,155158,360,0.8385,56.6667
2018,1401,202,155158,360,0.9030,56.1111
2018,1501,200,155158,360,0.9674,55.5556
2018,1601,198,155158,360,1.0319,55.0000
2018,1701,196,155158,360,1.0963,54.4444
2018,1801,195,155158,360,1.1608,54.1667
2018,1901,193,155158,360,1.2252,53.6111
2018,2001,191,155158,360,1.2897,53.0556
2018,2101,190,155158,360,1.3541,52.7778
2018,2201,188,155158,360,1.4186,52.2222
2018,2301,187,155158,360,1.4830,51.9444
2018,2401,185,155158,360,1.5475,51.3889
2018,2501,184,155158,360,1.6119,51.1111
2018,2601,182,155158,360,1.6764,50.5556
2018,2701,181,155158,360,1.7408,50.2778
2018,2801,180,155158,360,1.8053,50.0000
2018,2901,179,155158,360,1.8697,49.7222
2018,3001,177,155158,360,1.9342,49.1667
2018,3101,176,155158,360,1.9986,48.8889
2018,3201,175,155158,360,2.0631,48.6111
2018,3301,174,155158,360,2.1275,48.3333
2018,3401,173,155158,360,2.1920,48.0556
2018,3501,172,155158,360,2.2564,47.7778
2018,3601,171,155158,360,2.3209,47.5000
2018,3701,170,155158,360,2.3853,47.2222
2018,3801,169,155158,360,2.4498,46.9444
2018,3901,168,155158,360,2.5142,46.6667
2018,4001,167,155158,360,2.5787,46.3889
2018,4101,166,155158,360,2.6431,46.1111
2018,4201,165,155158,360,2.7076,45.8333
2018,4301,164,155158,360,2.7720,45.5556
2018,4401,164,155158,360,2.8365,45.5556
2018,4501,163,155158,360,2.9009,45.2778
2018,4601,162,155158,360,2.9654,45.0000
2018,4701,161,155158,360,3.0298,44.7222
2018,4801,160,155158,360,3.0943,44.4444
2018,4901,159,155158,360,3.1587,44.1667
2018,5001,158,155158,360,3.2232,43.8889
2018,5101,158,155158,360,3.2876,43.8889
2018,5201,157,155158,360,3.3521,43.6111
2018,5301,156,155158,360,3.4165,43.3333
2018,5402,155,155158,360,3.4816,43.0556
2018,5501,154,155158,360,3.5454,42.7778
2018,5601,154,155158,360,3.6099,42.7778
2018,5701,153,155158,360,3.6743,42.5000
2018,5801,152,155158,360,3.7388,42.2222
2018,5901,152,155158,360,3.8032,42.2222
2018,6001,151,155158,360,3.8677,41.9444
2018,6101,150,155158,360,3.9321,41.6667
2018,6201,150,155158,360,3.9966,41.6667
2018,6301,149,155158,360,4.0610,41.3889
2018,6401,148,155158,360,4.1255,41.1111
2018,6501,148,155158,360,4.1899,41.1111
2018,6601,147,155158,360,4.2544,40.8333
2018,6701,147,155158,360,4.3188,40.8333
2018,6801,146,155158,360,4.3833,40.5556
2018,6901,145,155158,360,4.4477,40.2778
2018,7001,145,155158,360,4.5122,40.2778
2018,7101,144,155158,360,4.5766,40.0000
2018,7201,144,155158,360,4.6411,40.0000
2018,7301,143,155158,360,4.7055,39.7222
2018,7401,143,155158,360,4.7700,39.7222
2018,7501,142,155158,360,4.8344,39.4444
2018,7601,142,155158,360,4.8989,39.4444
2018,7701,141,155158,360,4.9633,39.1667
2018,7801,140,155158,360,5.0278,38.8889
2018,7901,140,155158,360,5.0922,38.8889
2018,8001,139,155158,360,5.1567,38.6111
2018,8101,139,155158,360,5.2211,38.6111
2018,8201,138,155158,360,5.2856,38.3333
2018,8301,138,155158,360,5.3500,38.3333
2018,8401,137,155158,360,5.4145,38.0556
2018,8501,137,155158,360,5.4789,38.0556
2018,8601,136,155158,360,5.5434,37.7778
2018,8701,136,155158,360,5.6078,37.7778
2018,8801,135,155158,360,5.6723,37.5000
2018,8901,135,155158,360,5.7367,37.5000
2018,9001,135,155158,360,5.8012,37.5000
2018,9101,134,155158,360,5.8656,37.2222
2018,9201,134,155158,360,5.9301,37.2222
2018,9301,133,155158,360,5.9945,36.9444
2018,9401,133,155158,360,6.0590,36.9444
2018,9501,132,155158,360,6.1234,36.6667
2018,9601,132,155158,360,6.1879,36.6667
2018,9701,131,155158,360,6.2523,36.3889
2018,9801,131,155158,360,6.3168,36.3889
2018,9901,131,155158,360,6.3812,36.3889
2018,10001,130,155158,360,6.4457,36.1111
2018,10101,130,155158,360,6.5101,36.1111
2018,10201,129,155158,360,6.5746,35.8333
2018,10301,129,155158,360,6.6390,35.8333
2018,10401,129,155158,360,6.7035,35.8333
2018,10501,128,155158,360,6.7679,35.5556
2018,10601,128,155158,360,6.8324,35.5556
2018,10701,127,155158,360,6.8968,35.2778
2018,10801,127,155158,360,6.9613,35.2778
2018,10901,127,155158,360,7.0257,35.2778
2018,11001,126,155158,360,7.0902,35.0000
2018,11101,126,155158,360,7.1546,35.0000
2018,11201,126,155158,360,7.2191,35.0000
2018,11301,125,155158,360,7.2835,34.7222
2018,11401,125,155158,360,7.3480,34.7222
2018,11501,124,155158,360,7.4124,34.4444
2018,11601,124,155158,360,7.4769,34.4444
2018,11701,124,155158,360,7.5413,34.4444
2018,11801,123,155158,360,7.6058,34.1667
2018,11901,123,155158,360,7.6702,34.1667
2018,12001,123,155158,360,7.7347,34.1667
2018,12101,122,155158,360,7.7991,33.8889
2018,12201,122,155158,360,7.8636,33.8889
2018,12301,122,155158,360,7.9280,33.8889
2018,12401,121,155158,360,7.9925,33.6111
2018,12501,121,155158,360,8.0569,33.6111
2018,12601,121,155158,360,8.1214,33.6111
2018,12701,120,155158,360,8.1858,33.3333
2018,12801,120,155158,360,8.2503,33.3333
2018,12901,120,155158,360,8.3148,33.3333
2018,13001,119,155158,360,8.3792,33.0556
2018,13101,119,155158,360,8.4437,33.0556
2018,13201,119,155158,360,8.5081,33.0556
2018,13301,118,155158,360,8.5726,32.7778
2018,13401,118,155158,360,8.6370,32.7778
2018,13501,118,155158,360,8.7015,32.7778
2018,13601,117,155158,360,8.7659,32.5000
2018,13701,117,155158,360,8.8304,32.5000
2018,13801,117,155158,360,8.8948,32.5000
2018,13901,116,155158,360,8.9593,32.2222
2018,14001,116,155158,360,9.0237,32.2222
2018,14101,116,155158,360,9.0882,32.2222
2018,14201,115,155158,360,9.1526,31.9444
2018,14301,115,155158,360,9.2171,31.9444
2018,14401,115,155158,360,9.2815,31.9444
2018,14501,115,155158,360,9.3460,31.9444
2018,14601,114,155158,360,9.4104,31.6667
2018,14701,114,155158,360,9.4749,31.6667
2018,14801,114,155158,360,9.5393,31.6667
2018,14901,113,155158,360,9.6038,31.3889
2018,15001,113,155158,360,9.6682,31.3889
2018,15101,113,155158,360,9.7327,31.3889
2018,15201,113,155158,360,9.7971,31.3889
2018,15301,112,155158,360,9.8616,31.1111
2018,15401,112,155158,360,9.9260,31.1111
2018,15501,112,155158,360,9.9905,31.1111
2018,15601,111,155158,360,10.0549,30.8333
2018,15701,111,155158,360,10.1194,30.8333
2018,15801,111,155158,360,10.1838,30.8333
2018,15901,110,155158,360,10.2483,30.5556
2018,16001,110,155158,360,10.3127,30.5556
2018,16101,110,155158,360,10.3772,30.5556
2018,16201,110,155158,360,10.4416,30.5556
2018,16301,109,155158,360,10.5061,30.2778
2018,16401,109,155158,360,10.5705,30.2778
2018,16501,109,155158,360,10.6350,30.2778
2018,16601,109,155158,360,10.6994,30.2778
2018,16701,108,155158,360,10.7639,30.0000
2018,16801,108,155158,360,10.8283,30.0000
2018,16902,108,155158,360,10.8934,30.0000
2018,17001,107,155158,360,10.9572,29.7222
2018,17101,107,155158,360,11.0217,29.7222
2018,17201,107,155158,360,11.0861,29.7222
2018,17301,107,155158,360,11.1506,29.7222
2018,17401,106,155158,360,11.2150,29.4444
2018,17501,106,155158,360,11.2795,29.4444
2018,17601,106,155158,360,11.3439,29.4444
2018,17701,105,155158,360,11.4084,29.1667
2018,17801,105,155158,360,11.4728,29.1667
2018,17901,105,155158,360,11.5373,29.1667
2018,18001,105,155158,360,11.6017,29.1667
2018,18101,104,155158,360,11.6662,28.8889
2018,18201,104,155158,360,11.7306,28.8889
2018,18301,104,155158,360,11.7951,28.8889
2018,18401,104,155158,360,11.8595,28.8889
2018,18501,103,155158,360,11.9240,28.6111
2018,18601,103,155158,360,11.9884,28.6111
2018,18701,103,155158,360,12.0529,28.6111
2018,18801,102,155158,360,12.1173,28.3333
2018,18901,102,155158,360,12.1818,28.3333
2018,19001,102,155158,360,12.2462,28.3333
2018,19101,102,155158,360,12.3107,28.3333
2018,19201,101,155158,360,12.3751,28.0556
2018,19301,101,155158,360,12.4396,28.0556
2018,19401,101,155158,360,12.5040,28.0556
2018,19501,101,155158,360,12.5685,28.0556
2018,19601,101,155158,360,12.6329,28.0556
2018,19701,100,155158,360,12.6974,27.7778
2018,19801,100,155158,360,12.7618,27.7778
2018,19901,100,155158,360,12.8263,27.7778
2018,20001,99,155158,360,12.8907,27.5000
2018,20101,99,155158,360,12.9552,27.5000
2018,20201,99,155158,360,13.0196,27.5000
2018,20301,99,155158,360,13.0841,27.5000
2018,20401,98,155158,360,13.1485,27.2222
2018,20501,98,155158,360,13.2130,27.2222
2018,20601,98,155158,360,13.2774,27.2222
2018,20701,98,155158,360,13.3419,27.2222
2018,20801,98,155158,360,13.4063,27.2222
2018,20901,97,155158,360,13.4708,26.9444
2018,21001,97,155158,360,13.5352,26.9444
2018,21101,97,155158,360,13.5997,26.9444
2018,21201,97,155158,360,13.6641,26.9444
2018,21301,96,155158,360,13.7286,26.6667
2018,21401,96,155158,360,13.7930,26.6667
2018,21501,96,155158,360,13.8575,26.6667
2018,21601,96,155158,360,13.9219,26.6667
2018,21701,95,155158,360,13.9864,26.3889
2018,21801,95,155158,360,14.0508,26.3889
2018,21901,95,155158,360,14.1153,26.3889
2018,22001,95,155158,360,14.1797,26.3889
2018,22101,94,155158,360,14.2442,26.1111
2018,22201,94,155158,360,14.3086,26.1111
2018,22301,94,155158,360,14.3731,26.1111
2018,22401,94,155158,360,14.4375,26.1111
2018,22501,94,155158,360,14.5020,26.1111
2018,22601,93,155158,360,14.5664,25.8333
2018,22701,93,155158,360,14.6309,25.8333
2018,22801,93,155158,360,14.6953,25.8333
2018,22901,93,155158,360,14.7598,25.8333
2018,23001,92,155158,360,14.8242,25.5556
2018,23103,92,155158,360,14.8900,25.5556
2018,23202,92,155158,360,14.9538,25.5556
2018,23301,92,155158,360,15.0176,25.5556
2018,23401,91,155158,360,15.0820,25.2778
2018,23501,91,155158,360,15.1465,25.2778
2018,23601,91,155158,360,15.2109,25.2778
2018,23701,91,155158,360,15.2754,25.2778
2018,23801,90,155158,360,15.3398,25.0000
2018,23901,90,155158,360,15.4043,25.0000
2018,24001,90,155158,360,15.4687,25.0000
2018,24101,90,155158,360,15.5332,25.0000
2018,24162,90,155158,360,15.5725,25.0000
2014,1,334,119581,360,0.0008,92.7778
2014,101,278,119581,360,0.0845,77.2222
2014,201,267,119581,360,0.1681,74.1667
2014,301,259,119581,360,0.2517,71.9444
2014,401,252,119581,360,0.3353,70.0000
2014,501,246,119581,360,0.4190,68.3333
2014,601,241,119581,360,0.5026,66.9444
2014,701,237,119581,360,0.5862,65.8333
2014,801,234,119581,360,0.6698,65.0000
2014,901,230,119581,360,0.7535,63.8889
2014,1001,227,119581,360,0.8371,63.0556
2014,1101,225,119581,360,0.9207,62.5000
2014,1201,222,119581,360,1.0043,61.6667
2014,1301,220,119581,360,1.0880,61.1111
2014,1401,218,119581,360,1.1716,60.5556
2014,1501,216,119581,360,1.2552,60.0000
2014,1601,213,119581,360,1.3388,59.1667
2014,1701,211,119581,360,1.4225,58.6111
2014,1801,209,119581,360,1.5061,58.0556
2014,1901,207,119581,360,1.5897,57.5000
2014,2001,206,119581,360,1.6733,57.2222
2014,2101,204,119581,360,1.7570,56.6667
2014,2201,203,119581,360,1.8406,56.3889
2014,2301,201,119581,360,1.9242,55.8333
2014,2401,200,119581,360,2.0078,55.5556
2014,2501,199,119581,360,2.0915,55.2778
2014,2601,197,119581,360,2.1751,54.7222
2014,2701,196,119581,360,2.2587,54.4444
2014,2801,195,119581,360,2.3423,54.1667
2014,2901,194,119581,360,2.4260,53.8889
2014,3000,193,119581,360,2.5088,53.6111
2014,3101,192,119581,360,2.5932,53.3333
2014,3201,191,119581,360,2.6768,53.0556
2014,3301,190,119581,360,2.7605,52.7778
2014,3401,189,119581,360,2.8441,52.5000
2014,3501,188,119581,360,2.9277,52.2222
2014,3601,187,119581,360,3.0113,51.9444
2014,3701,187,119581,360,3.0950,51.9444
2014,3801,186,119581,360,3.1786,51.6667
2014,3901,185,119581,360,3.2622,51.3889
2014,4001,184,119581,360,3.3458,51.1111
2014,4101,183,119581,360,3.4295,50.8333
2014,4201,182,119581,360,3.5131,50.5556
2014,4301,181,119581,360,3.5967,50.2778
2014,4401,181,119581,360,3.6804,50.2778
2014,4501,180,119581,360,3.7640,50.0000
2014,4601,179,119581,360,3.8476,49.7222
2014,4701,178,119581,360,3.9312,49.4444
2014,4800,178,119581,360,4.0140,49.4444
2014,4901,177,119581,360,4.0985,49.1667
2014,5001,176,119581,360,4.1821,48.8889
2014,5101,176,119581,360,4.2657,48.8889
2014,5201,175,119581,360,4.3494,48.6111
2014,5301,174,119581,360,4.4330,48.3333
2014,5401,174,119581,360,4.5166,48.3333
2014,5501,173,119581,360,4.6002,48.0556
2014,5601,172,119581,360,4.6839,47.7778
2014,5701,172,119581,360,4.7675,47.7778
2014,5801,171,119581,360,4.8511,47.5000
2014,5901,170,119581,360,4.9347,47.2222
2014,6001,170,119581,360,5.0184,47.2222
2014,6101,169,119581,360,5.1020,46.9444
2014,6201,169,119581,360,5.1856,46.9444
2014,6301,168,119581,360,5.2692,46.6667
2014,6401,168,119581,360,5.3529,46.6667
2014,6501,167,119581,360,5.4365,46.3889
2014,6601,167,119581,360,5.5201,46.3889
2014,6701,166,119581,360,5.6037,46.1111
2014,6801,165,119581,360,5.6874,45.8333
2014,6901,165,119581,360,5.7710,45.8333
2014,7001,164,119581,360,5.8546,45.5556
2014,7101,164,119581,360,5.9382,45.5556
2014,7201,163,119581,360,6.0219,45.2778
2014,7301,163,119581,360,6.1055,45.2778
2014,7401,162,119581,360,6.1891,45.0000
2014,7501,162,119581,360,6.2727,45.0000
2014,7601,161,119581,360,6.3564,44.7222
2014,7701,161,119581,360,6.4400,44.7222
2014,7801,161,119581,360,6.5236,44.7222
2014,7901,160,119581,360,6.6072,44.4444
2014,8001,160,119581,360,6.6909,44.4444
2014,8101,159,119581,360,6.7745,44.1667
2014,8201,159,119581,360,6.8581,44.1667
2014,8301,158,119581,360,6.9417,43.8889
2014,8401,158,119581,360,7.0254,43.8889
2014,8501,157,119581,360,7.1090,43.6111
2014,8601,157,119581,360,7.1926,43.6111
2014,8701,156,119581,360,7.2762,43.3333
2014,8801,156,119581,360,7.3599,43.3333
2014,8901,156,119581,360,7.4435,43.3333
2014,9001,155,119581,360,7.5271,43.0556
2014,9101,155,119581,360,7.6107,43.0556
2014,9201,154,119581,360,7.6944,42.7778
2014,9301,154,119581,360,7.7780,42.7778
2014,9401,154,119581,360,7.8616,42.7778
2014,9501,153,119581,360,7.9452,42.5000
2014,9601,153,119581,360,8.0289,42.5000
2014,9701,152,119581,360,8.1125,42.2222
2014,9801,152,119581,360,8.1961,42.2222
2014,9901,152,119581,360,8.2797,42.2222
2014,10001,151,119581,360,8.3634,41.9444
2014,10101,151,119581,360,8.4470,41.9444
2014,10201,151,119581,360,8.5306,41.9444
2014,10301,150,119581,360,8.6142,41.6667
2014,10401,150,119581,360,8.6979,41.6667
2014,10501,150,119581,360,8.7815,41.6667
2014,10601,149,119581,360,8.8651,41.3889
2014,10701,149,119581,360,8.9487,41.3889
2014,10801,148,119581,360,9.0324,41.1111
2014,10900,148,119581,360,9.1152,41.1111
2014,11001,148,119581,360,9.1996,41.1111
2014,11101,147,119581,360,9.2832,40.8333
2014,11201,147,119581,360,9.3669,40.8333
2014,11301,147,119581,360,9.4505,40.8333
2014,11401,146,119581,360,9.5341,40.5556
2014,11501,146,119581,360,9.6177,40.5556
2014,11601,146,119581,360,9.7014,40.5556
2014,11701,145,119581,360,9.7850,40.2778
2014,11801,145,119581,360,9.8686,40.2778
2014,11901,145,119581,360,9.9522,40.2778
2014,12001,144,119581,360,10.0359,40.0000
2014,12101,144,119581,360,10.1195,40.0000
2014,12201,144,119581,360,10.2031,40.0000
2014,12301,143,119581,360,10.2868,39.7222
2014,12401,143,119581,360,10.3704,39.7222
2014,12501,143,119581,360,10.4540,39.7222
2014,12601,142,119581,360,10.5376,39.4444
2014,12701,142,119581,360,10.6213,39.4444
2014,12801,142,119581,360,10.7049,39.4444
2014,12901,142,119581,360,10.7885,39.4444
2014,13001,141,119581,360,10.8721,39.1667
2014,13101,141,119581,360,10.9558,39.1667
2014,13200,141,119581,360,11.0385,39.1667
2014,13301,140,119581,360,11.1230,38.8889
2014,13401,140,119581,360,11.2066,38.8889
2014,13501,140,119581,360,11.2903,38.8889
2014,13601,140,119581,360,11.3739,38.8889
2014,13701,139,119581,360,11.4575,38.6111
2014,13801,139,119581,360,11.5411,38.6111
2014,13901,139,119581,360,11.6248,38.6111
2014,14001,138,119581,360,11.7084,38.3333
2014,14100,138,119581,360,11.7912,38.3333
2014,14201,138,119581,360,11.8756,38.3333
2014,14301,138,119581,360,11.9593,38.3333
2014,14401,137,119581,360,12.0429,38.0556
2014,14501,137,119581,360,12.1265,38.0556
2014,14601,137,119581,360,12.2101,38.0556
2014,14701,137,119581,360,12.2938,38.0556
